6195	The Cruel Sea	tt0045659	1953
6205	Lemora: A Child's Tale of the Supernatural	tt0070300	1973
6215	Angels' Brigade	tt0078778	1979
6225	Nevada	tt0037124	1944
6235	See Here, Private Hargrove	tt0037256	1944
6245	Uptight	tt0063748	1968
6255	Risky Business	tt0086200	1983
6265	Enormous Changes at the Last Minute	tt0085494	1983
6275	Swamp Thing	tt0084745	1982
6285	The New Kids	tt0089679	1985
6295	The Thing	tt0084787	1982
6305	Mr. Mike's Mondo Video	tt0079583	1979
6315	A Hatful of Rain	tt0050487	1957
6325	Roman Holiday	tt0046250	1953
6335	The Night Holds Terror	tt0048423	1955
6345	Children of Love	tt0045729	1953
6355	Sweet Bird of Youth	tt0056541	1962
6365	Confidential Agent	tt0037610	1945
6375	Suspect	tt0094082	1987
6385	Saint-Ex	tt0120054	1996
6395	Splitting Heirs	tt0108207	1993
6405	The Blood of Hussain	tt0080447	1980
6415	Good Times	tt0061720	1967
6425	Untamed Heart	tt0108451	1993
6435	Def by Temptation	tt0099395	1990
6445	Love	tt0081022	1980
6455	The Sea Wolf	tt0034162	1941
6465	The House of the Arrow	tt0045889	1953
6475	A Little Princess	tt0113670	1995
6485	Dance with a Stranger	tt0088987	1985
6495	Afterglow	tt0118566	1997
6505	Target of an Assassin	tt0075307	1977
6515	A Pyromaniac's Love Story	tt0114210	1995
6525	Group Portrait with a Lady	tt0076113	1977
6535	Babe	tt0112431	1995
6545	Next Year If All Goes Well	tt0082022	1981
6555	Heaven with a Gun	tt0064409	1969
6565	Chiisai tôbôsha	tt0060658	1966
6575	The Life of Chikuzan	tt0075837	1977
6585	Gyangu tai G-men	tt0056006	1962
6595	The Catch	tt0085632	1983
6605	Crimes at the Dark House	tt0032366	1940
6615	The Stewardesses	tt0168192	1969
6625	A Turtle's Tale 2: Sammy's Escape from Paradise	tt2288005	2012
6635	California Dreaming	tt0078928	1979
6645	Inside Jennifer Welles	tt0076198	1977
6655	The Lady Escapes	tt0029103	1937
6665	Up the Down Staircase	tt0062425	1967
6675	Beauty and the Bullfighter	tt0046273	1954
6685	Flammes	tt0214694	1978
6695	Going the Distance	tt0079220	1979
6705	The Outsiders	tt0086066	1983
6715	Fearless	tt0106881	1993
6725	The Deep	tt0075925	1977
6735	Lilith	tt0058294	1964
6745	Stage Struck	tt0052235	1958
6755	A Little Sex	tt0084259	1982
6765	100 Rifles	tt0063970	1969
6775	To Kill a Priest	tt0096280	1988
6785	Scarface	tt0086250	1983
6795	Annie Hall	tt0075686	1977
6805	A.D.A.M: The Beginning	tt2605996	2013
6815	Missing Parents	tt0100159	1990
6825	The Firm	tt0106918	1993
6835	Korridoren	tt0062826	1968
6845	Snacka går ju...	tt0083098	1981
6855	Barnum Was Right	tt0019676	1929
6865	Sheepdog of the Hills	tt0034181	1941
6875	Fly Away Peter	tt0177782	1948
6885	Marry Me	tt0041641	1949
6895	King Solomon of Broadway	tt0026570	1935
6905	High Finance	tt0024118	1933
6915	Broadway Melody of 1936	tt0026144	1935
6925	Devil and the Deep	tt0022814	1932
6935	The Gal Who Took the West	tt0041400	1949
6945	Breakaway	tt0047897	1956
6955	Recoil	tt0046231	1953
6965	The Man Who Dared	tt0038722	1946
6975	Shop Spoiled	tt0046882	1954
6985	Wild Boy	tt0025990	1934
6995	Squibs	tt0027037	1935
7005	While I Live	tt0039984	1947
7015	Vinyl	tt0059880	1965
7025	Les hautes solitudes	tt0071600	1974
7035	Pasión en el mar	tt0049599	1956
7045	Diamond Head	tt0055905	1962
7055	Man in a Cocked Hat	tt0053044	1959
7065	Smashing Time	tt0062281	1967
7075	Bel Ami	tt0047868	1955
7085	The Knight of the Night	tt0045622	1953
7095	Crazy Over Horses	tt0043432	1951
7105	As Young as You Feel	tt0043299	1951
7115	The Kid from Cleveland	tt0041545	1949
7125	They Live by Night	tt0040872	1948
7135	Queen of the Jungle	tt0026903	1935
7145	Knights of the Queen	tt0037585	1954
