24748	nm0232196	tt0026406	{"Murdoch Glourie","Donald Glourie"}
24758	nm0866811	tt0026570	{Pinky}
24768	nm0001791	tt0026742	{"Lt. Tom Randolph"}
24778	nm0466505	tt0026903	{"Joan Lawrence","Mary Lawrence"}
24788	nm0363104	tt0027037	{"Sam Hopkins"}
24798	nm0235897	tt0027177	{"Bob Stuart"}
24808	nm0842981	tt0027370	{"Dr. Peter Fairfax"}
24818	nm0705509	tt0027400	{"Mr. Reed"}
24828	nm0280242	tt0027507	{"Peggy Mayhew"}
24838	nm0041172	tt0027741	{"Maj. Gen. Sir John Sangye, VC"}
24848	nm0532277	tt0028071	{"Terence Elliott"}
24858	nm0936730	tt0028543	{"Judith Frazier"}
24868	nm0745700	tt0028809	{"Le journaliste André Franchon"}
24878	nm0923481	tt0029103	{"Michael Hilton"}
24888	nm0281012	tt0029336	{Bud}
24898	nm0001647	tt0030149	{"Adam Lemp"}
24908	nm0584194	tt0030176	{"Phineas Fletcher"}
24918	nm0002092	tt0031103	{"Tim Haydon"}
24928	nm0528705	tt0031212	{"John S. 'Johnny' Heming"}
24938	nm0000734	tt0032207	{"Peter Coleman"}
24948	nm0247910	tt0032366	{"Marian Fairlie"}
24958	nm0173827	tt0033467	{"Susan Alexander Kane"}
24968	nm0665291	tt0033658	{"Charlie Peters"}
24978	nm0000039	tt0033853	{"Sally Hardcastle"}
24988	nm0405009	tt0034010	{"Old Woman"}
24998	nm0268119	tt0034181	{"Reverend Michael Varney"}
25008	nm0268119	tt0034636	{"Tom Danton"}
25018	nm0576120	tt0035098	{"'Scoop' Conner"}
25028	nm0206478	tt0035574	{"Mrs. Gail Farwood"}
25038	nm0738186	tt0035726	{"Dooley Watson"}
25048	nm0829838	tt0036095	{"Christine Morris"}
25058	nm0752787	tt0036623	{"Trudy Costello"}
25068	nm0842302	tt0036695	{"Bob Johnson"}
25078	nm0264278	tt0036803	{"Pvt. Quizz West"}
25088	nm0000955	tt0036926	{"Jed Bruce"}
25098	nm0000763	tt0037008	{"Det. Lt. Mark McPherson"}
25108	nm0309607	tt0037124	{"Hattie Ide"}
25118	nm0001656	tt0037256	{"Carol Holliday"}
25128	nm0001948	tt0037466	{"Capt. Waddell"}
25138	nm0132770	tt0037585	{Aramis}
25148	nm0376905	tt0037610	{Else}
25158	nm0581218	tt0038447	{"Lizbeth Ellsworth"}
25168	nm0001777	tt0038613	{"Archie Carstairs"}
25178	nm0534317	tt0038722	{"Donald Wayne"}
25188	nm0533956	tt0038739	{"Mamie Steeple"}
25198	nm0163588	tt0038923	{"Le fonctionnaire"}
25208	nm0779507	tt0038988	{"Toni Marachek"}
25218	nm0388303	tt0039160	{"Tony Arnelo"}
25228	nm0564738	tt0039231	{Narrator}
25238	nm0684891	tt0039478	{"Mr. Kirby"}
25248	nm0093921	tt0039587	{"Martin Trevor"}
25258	nm0339452	tt0039689	{Kathie}
25268	nm0000748	tt0039935	{"Amor aka Willis Farnes"}
25278	nm0554765	tt0040205	\N
25288	nm0949241	tt0040229	{"Geoffrey Lawson"}
25298	nm0183764	tt0040365	{"Jane Thompson"}
25308	nm0482881	tt0040441	\N
25318	nm0186697	tt0040551	{"Dick Lambert"}
25328	nm0910737	tt0040628	{"Mark Denek"}
24519	nm0000064	tt0020850	{"Charlie Yong"}
24529	nm0255695	tt0021419	{Beatrice}
24539	nm0547998	tt0021538	{"Karl Plattke"}
24549	nm0872454	tt0021669	{"Hercule Poirot"}
24559	nm0404158	tt0021978	{"Seth Law"}
24569	nm0020239	tt0022439	{"Mary Thorpe"}
24579	nm0550552	tt0022519	{"Arthur Tolhurst"}
24589	nm0000026	tt0022698	{"Nick Townsend"}
24599	nm0829795	tt0022880	{"Sam Goss"}
24609	nm0520323	tt0023845	{"Bessie Bolton"}
24619	nm0114328	tt0023999	{"Mme. Rivers"}
24629	nm0043875	tt0024054	{Coroner}
24639	nm0572324	tt0024118	{"Sir Grant Rayburn"}
24649	nm0338429	tt0024176	{Narrator}
24659	nm0056556	tt0024319	{"Bob Seymour"}
24669	nm0871287	tt0024496	{"Father Krug"}
24679	nm0308249	tt0024912	{"Sir Patrick Creegan"}
24689	nm0461549	tt0025313	{"Pip Fitzgerald"}
24699	nm0668021	tt0025659	\N
24709	nm0174029	tt0025811	{"Helen d'Alaste"}
24719	nm0515998	tt0025990	{"Marjorie Warren"}
24729	nm0745700	tt0026103	{"Boris - le deuxième amoureux de Sylvie"}
24739	nm0871287	tt0026176	{"Capt. Ben"}
24749	nm0662335	tt0026406	{"Peggy Martin"}
24759	nm0377909	tt0026570	{"Nikki Bradbury"}
24769	nm0662335	tt0026742	{"Betty Lansing"}
24779	nm0818967	tt0026903	{"Joan Lawrence as a child"}
24789	nm0391361	tt0027037	{"Constable Charley Lee"}
24799	nm0446769	tt0027253	{"Douglas Goodwin"}
24809	nm0821895	tt0027370	{"Sylvia Fairfax"}
24819	nm0789221	tt0027400	{"Mrs. Reed"}
24829	nm0532277	tt0027507	{"Lt. Peter Stretton"}
24839	nm0543169	tt0027741	{"Diana Cloam"}
24849	nm0642241	tt0028071	{Nanny}
24859	nm0065288	tt0028543	{"Roger Farragut"}
24869	nm0234247	tt0028809	{"Big-Bill, le patron de la boîte de nuit"}
24879	nm0001695	tt0029103	{"Rene Blanchard"}
24889	nm0020366	tt0029336	{Ches}
24899	nm0002092	tt0030149	{"Mickey Borden"}
24909	nm0930336	tt0030176	{"Abel Fletcher"}
24919	nm0485537	tt0031103	{"Mary 'Sunny' Walsh"}
24929	nm0047810	tt0031212	{"Nancy 'Nan' Masters"}
24939	nm0485537	tt0032207	{"Lydia Weston"}
24949	nm0912066	tt0032366	{"Paul Hartwright"}
24959	nm0001547	tt0033467	{"Mary Kane"}
24969	nm0914080	tt0033658	{Gert}
24979	nm0262647	tt0033853	{"Larry Meath"}
24989	nm0694217	tt0034010	{Kari}
24999	nm0295546	tt0034181	{"Dr. Peter Hammond"}
25009	nm0007042	tt0034636	{"Stephen Torg"}
25019	nm0928207	tt0035098	{Randall}
25029	nm0625167	tt0035574	{"Joe Tracey"}
25039	nm0060931	tt0035726	{"Mary Watson"}
25049	nm0516994	tt0036135	{"Hesther Shaw"}
25059	nm0222596	tt0036623	{"Joe Costello"}
25069	nm0640307	tt0036710	{"Donald Corrigan"}
25079	nm0642671	tt0036803	{"Pvt. Thomas Mulveroy"}
25089	nm0002022	tt0036955	{"Margaret 'Maggie' Preston"}
25099	nm0916067	tt0037008	{"Waldo Lydecker"}
25109	nm0402554	tt0037136	{"Marja Pacierkowski"}
25119	nm0943978	tt0037256	{"Pvt. Mulvehill"}
25129	nm0564708	tt0037467	{"Francis William 'Frankie' Davis"}
25139	nm0001982	tt0037585	{Porthos}
25149	nm0238445	tt0038283	{"Rosemary Murphy Levy"}
25159	nm0596056	tt0038447	{Duke}
25169	nm0000277	tt0038663	{"David Wilton"}
25179	nm0875861	tt0038722	{"Larry James"}
25189	nm0072578	tt0038812	{"Minor Role"}
25199	nm0035176	tt0038923	{Aicha}
25209	nm0000018	tt0038988	{"Walter O'Neil"}
25219	nm0614278	tt0039160	{"Theodore 'Ted' Parkson"}
25229	nm0002897	tt0039304	{Frankie}
25239	nm0288714	tt0039478	{"Joe Kirby"}
25249	nm0692439	tt0039611	{"Richard Howard"}
25259	nm0000018	tt0039689	{Whit}
25269	nm0237520	tt0039984	{"Julia Trevelyan"}
25279	nm0598603	tt0040205	\N
25289	nm0186700	tt0040273	{"Bess Stanforth"}
25299	nm0121819	tt0040365	{"Diana Harding"}
25309	nm0000006	tt0040491	{"Joan of Arc"}
25319	nm0263119	tt0040551	{"Gloria 'Golly' Raine"}
24520	nm0912810	tt0020850	{"Lo Sang Kee"}
24530	nm0550552	tt0021419	{Bruce}
24540	nm0845575	tt0021538	{"Berta Andersen, Hotel Manager"}
24550	nm0020239	tt0021669	{"Lucia Amory"}
24560	nm0599766	tt0021978	{"Matt Law"}
24570	nm0363104	tt0022439	{Parker}
24580	nm0164883	tt0022550	{Myra}
24590	nm0003339	tt0022698	{"Edward 'Ned' Faraday"}
24600	nm0280707	tt0022880	{"Mort Clark"}
24610	nm0363104	tt0023845	{"Bert Bolton"}
24620	nm0122286	tt0023999	{"Nina Carson"}
24630	nm0447597	tt0024054	{"John Gray"}
24640	nm0526946	tt0024118	{Jill}
24650	nm0528890	tt0024176	{"Lt. Bligh"}
24660	nm0597072	tt0024319	{"Lord Victor Wilby"}
24670	nm0358723	tt0024714	{Mabel}
24680	nm0391361	tt0024912	{"Father O'Flynn"}
24690	nm0140459	tt0025557	{"Peter Ward"}
24700	nm0086633	tt0025659	\N
24710	nm0560091	tt0025811	{"Lord Belsize"}
24720	nm0281012	tt0025990	{"Dick Smith"}
24730	nm0052703	tt0026103	{Toto}
24740	nm0059165	tt0026176	{"Capt. Zenas Henry Brewster"}
24750	nm0657874	tt0026406	{"Mr. Joe Martin"}
24760	nm0000051	tt0026610	{"Jim Martin"}
